Symbol,Company Name
SBIETFPB,Nifty Private Bank Index
SETFNN50,Nifty Next 50
HDFCGROWTH,HDFC NIFTY Growth Sectors 15 ETF
BSLGOLDETF,Gold
HDFCBSE500,HDFC S&P BSE 500 ETF
LICMFGOLD,Gold
NV20IETF,Nifty50 Value 20
LICNETFSEN,SENSEX
UTIBANKETF,Nifty Bank
HDFCNIFBAN,Nifty Bank
BANKNIFTY1,Nifty Bank
GOLDETFADD,DSP Gold ETF
SBILIQETF,Nifty 1D Rate Index
LOWVOL1,Kotak Nifty 100 Low Vol 30 ETF
NIFTY100EW,Nifty 100 Equal Weight Index
EBBETF0430,Nifty BHARAT Bond
UTINEXT50,Nifty Next 50
HDFCNIFIT,HDFC NIFTY IT ETF
BBNPNBETF,Baroda BNP Paribas NIFTY Bank ETF
ITETFADD,DSP Nifty IT ETF
SENSEXADD,DSP S&P BSE Sensex ETF
ITIETF,Nifty IT Index
IT,NIFTY IT Index
ITBEES,Nifty IT TRI
FMCGIETF,Nifty FMCG Index
MONQ50,Nasdaq Q-50 Total Return Index
GROWWLIQID,Nifty 1D Rate Index
LIQUIDCASE,Zerodha Nifty 1D Rate Liquid ETF
HDFCLIQUID,HDFC Nifty 1D Rate Liquid ETF
LIQUID1,Kotak Nifty 1D Rate Liquid ETF
LIQGRWBEES,Liquid
CASHIETF,BSE Liquid Rate Index
LIQUIDADD,DSP S&P BSE Liquid Rate ETF
LIQUIDBETF,Bajaj Finserv Nifty 1D Rate Liquid ETF
AONELIQUID,Nifty 1D Rate Index
LIQUIDPLUS,Nifty 1D Rate Index
LIQUIDSHRI,SHRIRAM NIFTY 1D RATE LIQUID ETF
LIQUIDBEES,Government Securities
ABSLLIQUID,Aditya Birla Sun Life CRISIL Overnight Fund AI ETF
MOGOLD,Domestic Price of Physical Gold
LIQUIDIETF,S&P BSE Liquid Rate Index
IVZINNIFTY,Nifty 50
LIQUIDETF,Nifty1D rate index
EBBETF0431,Nifty BHARAT Bond
LIQUID,Mirae Asset Nifty 1D Rate Liquid ETF
LIQUIDSBI,SBI NIFTY 1D Rate ETF
GSEC10ABSL,CRISIL 10 Year Gilt ETF
HDFCPSUBK,HDFC NIFTY PSU BANK ETF
ITETF,Mirae Asset Nifty IT ETF
BBETF0432,Nifty BHARAT Bond Index - April 2032
BANKPSU,Nifty PSU Bank Total Return Index
BANKETFADD,DSP Nifty Bank ETF
PSUBNKBEES,Nifty PSU Bank
SBIETFIT,Nifty IT Index
SETF10GILT,Nifty 10 yr Benchmark G-Sec Index
EBBETF0433,BHARAT Bond ETF-April 2033
AXSENSEX,AXIS S&P BSE SENSEX ETF
LTGILTBEES,NIFTY 8-13 yr G-Sec Index
UNIONGOLD,Commodity Gold
GILT5YBEES,Nifty 5 yr Benchmark G-Sec Index
NIFITETF,UTI Nifty IT ETF
NIF5GETF,UTI Nifty 5 yr Benchmark G-Sec ETF
QUALITY30,Nifty200 Quality 30 Index
AXISBPSETF,Nifty AAA Bond Plus SDL Apr 2026 50:50 Index
AXISTECETF,NIFTY IT Index
LICNETFGSC,GSEC10 NSE Index
EBANKNIFTY,Edelweiss Nifty Bank ETF
PSUBANK,Nifty PSU Bank
GSEC10IETF,ICICI Prudential Nifty 10 yr Benchmark G-Sec ETF
GSEC10YEAR,Mirae Asset Nifty 8-13 yr G-Sec ETF
GROWWMOM50,Nifty 500 Momentum 50 Index- Total Return Index
PSUBNKIETF,ICICI Prudential Nifty PSU Bank ETF
MAFANG,NYSE FANG+ Total Return Index
GROWWPOWER,BSE Power Index - TRI
MASPTOP50,S&P 500 Top 50 Total Return Index
LICNFNHGP,Nifty 100
ABGSEC,Aditya Birla Sun Life CRISIL Broad Based Gilt ETF
MOGSEC,Nifty 5 yr Benchmark G-Sec Index
PSUBANKADD,DSP Nifty PSU Bank ETF
